labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12,AR_13,AR_14
G1,-49,-9.333333,64.666667,G,-43.447929,-15.867502,63.037395,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G2,-58,-13.333333,55.333333,G,-52.189358,-19.035263,55.802429,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G3,-64.4,-17.2,48,G,-57.655933,-22.704752,47.301094,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G4,-68.666667,-23,38.666667,G,-60.990421,-26.863001,38.606834,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G5,-71,-30,32,G,-61.079762,-31.255875,30.236174,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G6,-71,-35.5,22.5,G,-59.715092,-35.958927,20.953295,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G7,-70,-42.666667,14.666667,G,-58.76606,-40.058437,12.139689,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G8,-70.666667,-48,5.333333,G,-58.035217,-44.361038,3.783807,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G9,-50.666667,0.666667,58,G,-44.25185,-6.621948,58.652378,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G10,-60,-3,51,G,-52.081116,-10.35142,51.146599,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G11,-65.333333,-8,41.333333,G,-58.418224,-13.12242,42.876743,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G12,-70,-14,33,G,-61.075386,-17.404266,34.74345,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G13,-68.22,-22.61,26.23,G,-62.307552,-21.740185,25.880659,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G14,-73.333333,-26,17.333333,G,-62.013142,-26.44784,17.144548,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G15,-74,-33,7,G,-62.151855,-31.12623,8.513162,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G16,-73.6,-39.2,-0.8,G,-61.67519,-35.151211,-0.332939,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G17,-52,12,53,G,-47.418049,2.533906,55.346024,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G18,-59,8,46,G,-51.850746,-0.991705,47.492493,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G19,-64.666667,2,36.666667,G,-58.301926,-4.328296,39.345028,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G20,-69.6,-5.2,27.2,G,-61.396294,-8.493052,30.096134,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G21,-71.2,-11.2,18.8,G,-62.844856,-12.501513,21.118229,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G22,-73,-17,10,G,-62.833767,-17.340588,13.098272,G,27.76%,mSTG,72.24%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN
G23,-74,-23,0,G,-62.505497,-21.610073,3.638912,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G24,-74,-31,-8,G,-62.357723,-26.016504,-4.940197,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G25,-51.6,20.8,46.8,G,-48.241825,12.325786,51.654408,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G26,-59,18,40,G,-53.727318,9.082417,43.122406,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G27,-64.666667,11,30.666667,G,-57.773067,4.813179,34.977169,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G28,-69,5,20,G,-61.557804,1.202209,25.904766,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G29,-71,-2,13,G,-62.276878,-3.375398,17.079781,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G30,-71.5,-7,3.5,G,-62.400055,-7.890117,8.140097,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G31,-73.2,-14.8,-5.6,G,-62.406948,-12.209862,0.057189,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G32,-74,-20.666667,-15.333333,G,-61.679932,-16.732401,-9.043724,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
