labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12,AR_13
G1,-52.5,49,16.5,G,-46.095165,55.261448,24.447382,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G2,-53,41.333333,22.666667,G,-47.434025,46.910973,28.281309,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G3,-54.8,33.2,29.2,G,-48.958466,37.872257,32.594849,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G4,-55.333333,26,36.666667,G,-49.312344,29.136087,36.086639,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G5,-55.2,17.2,41.6,G,-48.625271,19.209513,39.988121,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G6,-52,10,49,G,-43.075287,9.041661,43.051544,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G7,-53,0,56,G,-45.115322,0.030125,47.388138,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G8,-48,-9.333333,63.333333,G,-39.239025,-9.634927,50.255795,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G9,-58,43,7,G,-50.783314,51.825993,15.548272,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G10,-60,36,15,G,-52.359772,43.296116,19.924002,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G11,-62.666667,28,21.333333,G,-54.405186,34.559742,23.272472,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G12,-64,19,28.5,G,-53.64967,25.176096,27.976749,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G13,-63.333333,13.333333,34.666667,G,-54.541576,16.084307,31.73477,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G14,-61.5,4.5,41,G,-53.401031,6.002976,35.630093,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
