labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9
G1,-37.2,-14.4,73.2,G,-34.487446,-21.274218,48.651531,G,100.00%,precentral,NaN,NaN,NaN
G2,-49,-15,66,G,-44.980419,-19.022665,42.233738,G,100.00%,precentral,NaN,NaN,NaN
G3,-60,-18,57,G,-55.059143,-17.148115,35.537331,G,100.00%,postcentral,NaN,NaN,NaN
G4,-67.2,-19.2,46.4,G,-61.182529,-14.767766,26.934883,G,100.00%,postcentral,NaN,NaN,NaN
G5,-70,-22,37,G,-64.092781,-13.463357,17.63777,G,100.00%,postcentral,NaN,NaN,NaN
G6,-72,-24,27,G,-66.338387,-12.039046,8.042907,G,100.00%,supramarginal,NaN,NaN,NaN
G7,-73,-27.333333,15.333333,G,-65.826027,-11.743881,-2.89295,G,100.00%,cSTG,NaN,NaN,NaN
G8,-74,-32,5,G,-65.086998,-11.073524,-12.80114,G,100.00%,cSTG,NaN,NaN,NaN
G9,-38,-4.666667,68.666667,G,-33.456219,-11.285272,49.590576,G,100.00%,precentral,NaN,NaN,NaN
G10,-50,-4.666667,60.666667,G,-44.779007,-8.704151,43.624653,G,100.00%,precentral,NaN,NaN,NaN
G11,-60,-7,52,G,-53.14069,-6.718171,35.592991,G,100.00%,postcentral,NaN,NaN,NaN
G12,-65.2,-9.6,42.8,G,-58.967628,-4.90883,27.351727,G,100.00%,postcentral,NaN,NaN,NaN
G13,-70.5,-11,32.5,G,-63.012966,-2.996575,18.108675,G,100.00%,postcentral,NaN,NaN,NaN
G14,-72.5,-15,22.5,G,-64.054573,-2.315765,8.277059,G,100.00%,postcentral,NaN,NaN,NaN
G15,-72.666667,-18.666667,10,G,-63.972885,-1.635821,-2.684762,G,100.00%,mSTG,NaN,NaN,NaN
G16,-74,-21.333333,0.666667,G,-64.603447,-0.89029,-11.77469,G,100.00%,mMTG,NaN,NaN,NaN
G17,-40.8,6.4,64.8,G,-34.886364,-1.344694,51.496635,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G18,-52,5,56,G,-43.199451,1.252726,43.96545,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G19,-60,3.333333,47.333333,G,-51.187176,3.260697,36.912476,G,100.00%,precentral,NaN,NaN,NaN
G20,-65,1.333333,37.333333,G,-56.06881,5.278826,27.80154,G,100.00%,precentral,NaN,NaN,NaN
G21,-69.2,-2.4,28.8,G,-59.450848,6.537622,18.10771,G,100.00%,postcentral,NaN,NaN,NaN
G22,-72,-5.333333,17.333333,G,-60.154797,7.584771,7.918403,G,100.00%,postcentral,NaN,NaN,NaN
G23,-73,-9,7.5,G,-61.757076,7.974953,-1.672971,G,100.00%,mSTG,NaN,NaN,NaN
G24,-74,-12.666667,-3.333333,G,-62.607159,8.939204,-11.932661,G,100.00%,mSTG,NaN,NaN,NaN
G25,-42,16.666667,60.666667,G,-34.143764,8.541259,52.226665,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G26,-51,15.333333,52.666667,G,-42.047382,11.317,45.549778,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G27,-56.8,13.6,42.8,G,-48.561699,13.548306,36.825607,G,100.00%,precentral,NaN,NaN,NaN
G28,-64,12.666667,34.666667,G,-52.584221,15.336384,27.808769,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G29,-68,8.666667,24.666667,G,-55.356033,16.315504,18.225183,G,100.00%,precentral,NaN,NaN,NaN
G30,-70,5.333333,11.333333,G,-55.788853,17.137609,7.975975,G,100.00%,precentral,NaN,NaN,NaN
G31,-70.8,1.6,2.8,G,-56.421619,17.724693,-1.801833,G,100.00%,mSTG,NaN,NaN,NaN
G32,-70,-0.666667,-8.666667,G,-56.650944,18.263601,-11.770152,G,100.00%,mSTG,NaN,NaN,NaN
G33,-40,26.666667,55.333333,G,-31.711954,18.126757,52.785591,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G34,-49,25,48,G,-39.812374,20.911404,45.970322,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G35,-56.666667,24,38.666667,G,-46.86451,23.393579,37.672966,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G36,-63,21,31,G,-50.979736,24.909359,28.330338,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G37,-66,18,19,G,-52.633209,26.331869,18.430317,G,100.00%,parsopercularis,NaN,NaN,NaN
