labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11
G1,-45,52,24,G,-44.423378,66.943268,43.203106,G,100.00%,rostralmiddlefrontal,,,,,
G2,-48.8,43.6,26.8,G,-47.251392,57.887436,44.922756,G,100.00%,rostralmiddlefrontal,,,,,
G3,-50.8,34.8,32.4,G,-48.295849,47.890179,47.599243,G,100.00%,rostralmiddlefrontal,,,,,
G4,-54,28,38,G,-52.215649,38.424305,50.066936,G,100.00%,rostralmiddlefrontal,,,,,
G5,-53.5,17.5,40.5,G,-50.422565,27.984755,51.712822,G,100.00%,rostralmiddlefrontal,,,,,
G6,-56.666667,9.333333,45,G,-52.870461,18.247553,53.643101,G,100.00%,precentral,,,,,
G7,-60,0,48,G,-56.116127,9.00028,55.724102,G,100.00%,precentral,,,,,
G8,-57,-13.5,52.5,G,-53.739765,-1.454256,57.600952,G,100.00%,postcentral,,,,,
G9,-50,51,15,G,-48.698505,66.32299,35.030041,G,100.00%,rostralmiddlefrontal,,,,,
G10,-54,42,20,G,-51.116642,56.973476,37.615147,G,100.00%,rostralmiddlefrontal,,,,,
G11,-56,34,23,G,-53.987186,47.420044,38.802197,G,41.85%,rostralmiddlefrontal,58.15%,parsopercularis,,,
G12,-61.2,25.2,27.6,G,-57.62394,37.564812,40.884655,G,100.00%,parsopercularis,,,,,
G13,-61.2,15.6,32.8,G,-54.534973,26.75565,42.499592,G,100.00%,parsopercularis,,,,,
G14,-62.666667,7.333333,36,G,-58.257172,17.287243,44.519096,G,100.00%,precentral,,,,,
G15,-64,-4,40,G,-60.815094,6.981263,46.60709,G,100.00%,precentral,,,,,
G16,-66,-14,43,G,-60.215771,-3.122268,47.75705,G,100.00%,postcentral,,,,,
G17,-54,48,7,G,-52.678307,65.705276,27.00499,G,100.00%,rostralmiddlefrontal,,,,,
G18,-59,39,10,G,-56.222805,55.976269,28.759844,G,100.00%,parstriangularis,,,,,
G19,-62,31.333333,13.333333,G,-58.407379,46.124447,29.97296,G,100.00%,parstriangularis,,,,,
G20,-65.333333,22,19.333333,G,-60.223667,35.908031,32.147484,G,100.00%,parsopercularis,,,,,
G21,-64,12,23,G,-57.656048,25.039764,33.765026,G,100.00%,precentral,,,,,
G22,-67.333333,2.666667,27,G,-62.641926,15.60476,35.323254,G,100.00%,postcentral,,,,,
G23,-69.2,-6.8,29.6,G,-64.175484,5.640014,36.422405,G,100.00%,postcentral,,,,,
G24,-69,-16,33,G,-65.124756,-4.387149,38.26189,G,100.00%,postcentral,,,,,
G25,-56.666667,44.666667,-2,G,-55.860054,64.36599,18.206308,G,100.00%,rostralmiddlefrontal,,,,,
G26,-62,37,2,G,-58.277634,54.795364,19.941999,G,100.00%,parstriangularis,,,,,
G27,-64.666667,26.666667,6,G,-59.959324,43.811958,21.173,G,100.00%,parstriangularis,,,,,
G28,-65,18,10,G,-58.965511,32.954502,23.081497,G,100.00%,parsopercularis,,,,,
G29,-68,10,12,G,-59.551327,23.074665,23.861166,G,100.00%,precentral,,,,,
G30,-69.333333,-1.333333,16,G,-64.972145,13.459168,24.92528,G,100.00%,postcentral,,,,,
G31,-70.666667,-11.333333,20,G,-65.621574,3.700732,26.601196,G,100.00%,postcentral,,,,,
G32,-71,-20,24,G,-66.336952,-6.228786,28.04347,G,100.00%,supramarginal,,,,,
G33,-57,42,-9,G,-55.645386,62.518749,10.17121,G,,,,,,,
G34,-60.8,31.6,-7.2,G,-56.379581,51.098721,10.893128,G,100.00%,parstriangularis,,,,,
G35,-57,20,-2,G,-51.471962,39.165565,13.340224,G,100.00%,parstriangularis,,,,,
G36,-63,14,1,G,-56.40443,30.040361,14.212178,G,100.00%,parsopercularis,,,,,
G37,-67,5,4,G,-58.969921,20.053345,15.154708,G,100.00%,precentral,,,,,
G38,-69,-4,9,G,-64.313416,11.042709,15.391709,G,100.00%,postcentral,,,,,
G39,-71,-14,10,G,-66.008484,1.166963,16.502226,G,100.00%,mSTG,,,,,
G40,-71,-22.666667,12.666667,G,-67.819397,-7.85456,17.597658,G,100.00%,cSTG,,,,,
G41,-52,36,-17,G,-49.947521,57.833862,2.150252,G,,,,,,,
G42,-56,28,-15,G,-51.519913,47.139462,2.819196,G,100.00%,parsorbitalis,,,,,
